,A,B,C,D,E
1980,14.4,11.12,17.466,255.526,242.049
1981,13.2053,9.82591,18.944,168.659,181.283
1982,13.9451,9.61589,21.5465,166.378,156.808
1983,14.872,9.50756,12.3728,212.121,171.993
1984,13.4359,8.55141,16.4256,214.803,170.148
1985,12.5222,10.3758,11.1836,144.737,225.254
1986,13.3456,11.3136,9.78886,172.346,148.456
1987,13.1523,10.4584,12.0574,165.098,213.042
1988,12.5973,12.7989,15.4422,135.193,180.207
1989,13.9486,13.1672,19.9651,113.826,190.372
1990,12.679,11.357,15.9461,101.758,171.448
1991,14.2109,12.348,16.8562,107.218,231.535
1992,13.8073,11.7567,19.7544,151.174,200.15
1993,13.8003,10.0583,14.439,164.987,143.229
1994,15.9078,11.4491,12.0424,159.966,184.126
1995,18.6689,13.2608,15.3632,181.098,222.387
1996,17.3131,15.5273,16.7021,191.559,276.284
1997,17.0886,16.6984,17.7155,180.193,156.501
1998,17.0098,17.1441,21.2309,245.457,188.744
1999,16.3914,18.8689,21.8555,150.069,130.833
2000,15.5729,17.9416,18.0057,145.392,138.274
2001,15.4772,18.1058,20.0341,178.85,112.589
2002,13.7601,14.8796,14.8143,187.433,172.315
2003,14.0499,12.6222,12.9016,203.619,173.239
2004,14.6137,14.96,15.0513,190.576,138.705
2005,15.9328,14.9152,14.6586,187.226,134.106
2006,16.9269,12.2092,10.9258,232.42,130.832
2007,15.0689,11.9741,11.4829,148.506,117.391
2008,15.2878,10.8766,15.5501,142.274,127.855
2009,17.5471,12.9456,15.9787,136.896,126.038
2010,15.968,14.4944,11.5086,180.332,175.677
2011,15.3258,15.02,10.8694,206.325,157.756
2012,14.555,16.1375,15.4674,261.095,148.924
2013,13.2286,14.9363,14.6188,285.519,158.936
2014,15.3808,14.681,16.7156,312.109,203.727
2015,14.8204,14.7076,17.158,241.549,203.221
