survey,year,species,sizebin,inpN,Blue_whiting,Capelin,Green_halibut,Haddock,Long_rough_dab,Mackerel,North_atl_cod,Norwegian_ssh,Polar_cod,Redfish,Saithe,allotherprey
BTS_fall_allbox_effic1,1,Blue_whiting,sizebin2,10000000,NA,0.02603601074746069,NA,NA,NA,NA,NA,5.019572799255176e-7,NA,0.0388904543067548,NA,0.9350730329885046
BTS_fall_allbox_effic1,1,Blue_whiting,sizebin3,10000000,NA,0.031320776495020554,NA,NA,NA,NA,NA,2.9069480707696013e-5,NA,0.0480685695322764,NA,0.9205815844919953
BTS_fall_allbox_effic1,1,Blue_whiting,sizebin4,10000000,NA,0.032569636891086745,NA,NA,NA,NA,NA,8.795905175073086e-5,NA,0.051540538322607514,NA,0.915801865734555
BTS_fall_allbox_effic1,1,Blue_whiting,sizebin5,10000000,NA,0.032842441723775546,NA,NA,NA,NA,NA,2.3553155265416457e-4,NA,0.053473049661287644,NA,0.9134489770622827
BTS_fall_allbox_effic1,2,Blue_whiting,sizebin2,10000000,NA,0.0012321463161101933,NA,NA,NA,NA,NA,3.036647815021246e-6,NA,5.3524254930084635e-5,NA,0.9987112927811447
BTS_fall_allbox_effic1,2,Blue_whiting,sizebin3,10000000,NA,0.019580698035298074,NA,NA,NA,NA,NA,4.747818787351062e-5,NA,0.004915646652078233,NA,0.9754561771247502
BTS_fall_allbox_effic1,2,Blue_whiting,sizebin4,10000000,NA,0.03627211314696331,NA,NA,NA,NA,NA,8.76744213291881e-5,NA,0.016554840812870578,NA,0.9470853716188369
BTS_fall_allbox_effic1,2,Blue_whiting,sizebin5,10000000,NA,0.03738534053130309,NA,NA,NA,NA,NA,8.955530042667825e-5,NA,0.032361552519537,NA,0.9301635516487332
BTS_fall_allbox_effic1,3,Blue_whiting,sizebin2,10000000,NA,2.2744477213726134e-4,NA,NA,NA,NA,NA,1.4928820867752094e-6,NA,7.395905804770121e-5,NA,0.9996971032877283
BTS_fall_allbox_effic1,3,Blue_whiting,sizebin3,10000000,NA,0.013310035194558473,NA,NA,NA,NA,NA,7.578147046713022e-5,NA,0.006405659741497628,NA,0.9802085235934768
BTS_fall_allbox_effic1,3,Blue_whiting,sizebin4,10000000,NA,0.022637116130431473,NA,NA,NA,NA,NA,1.275145451972601e-4,NA,0.010490659119834607,NA,0.9667447102045367
BTS_fall_allbox_effic1,3,Blue_whiting,sizebin5,10000000,NA,0.02380965170489007,NA,NA,NA,NA,NA,1.3232597170607046e-4,NA,0.009470667250098973,NA,0.9665873550733048
