species,year,sizebin1,sizebin2,sizebin3,sizebin4,sizebin5
Blue_whiting,1,NA,325,80963,18684,24
Blue_whiting,2,NA,1067,82955,15957,19
Blue_whiting,3,NA,600,71895,27443,63
Blue_whiting,4,NA,395,63185,36292,124
Blue_whiting,5,NA,399,58798,40612,185
Blue_whiting,6,NA,377,54110,45242,272
Blue_whiting,7,NA,342,49948,49311,391
Blue_whiting,8,NA,321,47488,51710,472
Blue_whiting,9,NA,269,44649,54502,573
Blue_whiting,10,NA,252,41114,57876,748
Blue_whiting,11,NA,236,39965,58948,845
Blue_whiting,12,NA,254,40138,58751,851
Blue_whiting,13,NA,228,39987,58939,843
Blue_whiting,14,NA,250,40509,58439,798
Blue_whiting,15,NA,226,40846,58166,754
Blue_whiting,16,NA,287,42772,56257,685
Blue_whiting,17,NA,318,44564,54490,625
Blue_whiting,18,NA,349,46357,52721,567
Blue_whiting,19,NA,344,47300,51826,533
Blue_whiting,20,NA,388,47916,51176,522
Blue_whiting,21,NA,374,48071,51019,533
Blue_whiting,22,NA,415,48079,50954,548
Blue_whiting,23,NA,433,48139,50858,567
Blue_whiting,24,NA,422,47627,51332,610
Blue_whiting,25,NA,379,46488,52450,670
Blue_whiting,26,NA,447,47179,51657,714
Blue_whiting,27,NA,434,46644,52159,756
Blue_whiting,28,NA,425,46024,52736,806
Blue_whiting,29,NA,439,45730,52981,844
Blue_whiting,30,NA,425,44805,53834,932
Blue_whiting,31,NA,482,45776,52813,924
Blue_whiting,32,NA,493,47079,51571,856
Blue_whiting,33,NA,451,47075,51638,834
Blue_whiting,34,NA,493,47310,51366,817
Blue_whiting,35,NA,498,47678,51023,801
Blue_whiting,36,NA,423,46124,52602,833
Blue_whiting,37,NA,440,45316,53378,858
Blue_whiting,38,NA,417,44199,54456,926
Blue_whiting,39,NA,424,44049,54593,931
Blue_whiting,40,NA,400,43449,55178,973
Blue_whiting,41,NA,392,43534,55094,978
Blue_whiting,42,NA,369,42524,56097,1007
Blue_whiting,43,NA,383,43026,55601,989
